============================================================
Advertisers Count by Country (Descending)
============================================================
Country                        Count   Percentage
------------------------------------------------------------
US                           494,194       13.00%
DE                           276,136        7.26%
TR                           270,572        7.12%
FR                           257,590        6.78%
GB                           195,048        5.13%
IT                           183,019        4.81%
PL                           175,490        4.62%
ES                           163,693        4.31%
NL                           132,342        3.48%
BR                           127,814        3.36%
CZ                            75,867        2.00%
CA                            67,373        1.77%
SE                            65,533        1.72%
RO                            62,430        1.64%
IN                            58,099        1.53%
CN                            57,299        1.51%
AU                            52,468        1.38%
BE                            51,236        1.35%
CH                            51,046        1.34%
HU                            49,526        1.30%
UA                            48,980        1.29%
GR                            46,211        1.22%
DK                            44,688        1.18%
AT                            41,379        1.09%
PT                            39,892        1.05%
JP                            33,200        0.87%
NO                            32,090        0.84%
FI                            31,789        0.84%
HK                            29,771        0.78%
BG                            28,777        0.76%
SK                            27,360        0.72%
MU                            24,526        0.65%
MX                            23,948        0.63%
IE                            23,730        0.62%
AE                            22,227        0.58%
IL                            20,317        0.53%
VN                            20,116        0.53%
LT                            18,718        0.49%
EE                            17,378        0.46%
AR                            17,360        0.46%
KR                            16,059        0.42%
CO                            15,618        0.41%
TH                            13,831        0.36%
HR                            13,546        0.36%
ZA                            13,312        0.35%
LU                            13,071        0.34%
SI                            12,376        0.33%
PK                            11,731        0.31%
LV                            11,543        0.30%
TW                            11,414        0.30%
NZ                            10,869        0.29%
CL                            10,809        0.28%
SG                             9,980        0.26%
EC                             9,524        0.25%
RS                             9,327        0.25%
ID                             8,634        0.23%
MA                             8,106        0.21%
SA                             8,073        0.21%
CY                             7,255        0.19%
PE                             7,038        0.19%
BY                             6,560        0.17%
KZ                             6,558        0.17%
LK                             5,652        0.15%
MY                             5,427        0.14%
EG                             3,993        0.11%
MD                             3,645        0.10%
DO                             3,545        0.09%
IS                             3,318        0.09%
MT                             3,284        0.09%
PH                             3,215        0.08%
NG                             3,100        0.08%
KE                             3,053        0.08%
CR                             2,939        0.08%
UY                             2,848        0.07%
(NULL)                         2,693        0.07%
RE                             2,518        0.07%
GT                             2,470        0.06%
GE                             2,439        0.06%
BA                             2,434        0.06%
PA                             2,431        0.06%
PR                             2,078        0.05%
