Country,Advertiser_Count,Percentage
US,361,12.33%
HK,283,9.67%
TR,253,8.64%
SE,211,7.21%
CN,178,6.08%
GB,122,4.17%
DE,109,3.72%
IN,100,3.42%
FR,87,2.97%
AE,85,2.90%
PK,80,2.73%
CY,72,2.46%
PL,61,2.08%
VN,59,2.02%
NL,54,1.84%
SG,52,1.78%
ES,51,1.74%
KR,49,1.67%
IT,32,1.09%
CA,30,1.02%
UA,30,1.02%
IL,27,0.92%
JP,27,0.92%
AT,26,0.89%
RO,25,0.85%
AU,25,0.85%
SA,25,0.85%
CZ,24,0.82%
EE,22,0.75%
LT,22,0.75%
FI,21,0.72%
CH,21,0.72%
BR,21,0.72%
HU,18,0.61%
VG,17,0.58%
BE,15,0.51%
KZ,13,0.44%
ZA,13,0.44%
BG,12,0.41%
PT,10,0.34%
IE,9,0.31%
AM,8,0.27%
SK,8,0.27%
LV,8,0.27%
NO,8,0.27%
HR,8,0.27%
RS,7,0.24%
TW,6,0.20%
BY,6,0.20%
MT,5,0.17%
MA,5,0.17%
TH,5,0.17%
UY,5,0.17%
GR,4,0.14%
GE,4,0.14%
AD,4,0.14%
EG,4,0.14%
QA,4,0.14%
DK,4,0.14%
LU,4,0.14%
MH,3,0.10%
NZ,3,0.10%
JO,3,0.10%
SI,3,0.10%
BD,3,0.10%
AR,3,0.10%
LK,2,0.07%
MD,2,0.07%
ME,2,0.07%
MU,2,0.07%
MX,2,0.07%
NG,2,0.07%
ID,2,0.07%
PE,2,0.07%
GH,2,0.07%
CO,2,0.07%
CL,2,0.07%
BH,2,0.07%
UZ,2,0.07%
KW,2,0.07%
LB,2,0.07%
IQ,1,0.03%
SC,1,0.03%
DZ,1,0.03%
MY,1,0.03%
MO,1,0.03%
AL,1,0.03%
SM,1,0.03%
SV,1,0.03%
VI,1,0.03%
KG,1,0.03%
BZ,1,0.03%
AZ,1,0.03%
UG,1,0.03%
GT,1,0.03%
PH,1,0.03%
GI,1,0.03%
OM,1,0.03%
IS,1,0.03%
NP,1,0.03%
RW,1,0.03%
TOTAL,2927,100.00%
